province,district,subdistrict,zipcode,latitude,longitude
กรุงเทพมหานคร,บางพลัด,บางอ้อ,10700,13.802,100.512
กรุงเทพมหานคร,บางพลัด,บางบำหรุ,10700,13.781,100.482
กรุงเทพมหานคร,บางพลัด,บางยี่ขัน,10700,13.774,100.492
กรุงเทพมหานคร,ดินแดง,ดินแดง,10400,13.778,100.567
กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,10240,13.808,100.650
กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,10240,null,null
กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,10240,null,null
กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,10120,13.710,100.532
กรุงเทพมหานคร,สาทร,ยานนาวา,10120,13.714,100.514
กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ,10120,13.718,100.541
กรุงเทพมหานคร,บางซื่อ,บางซื่อ,10800,13.820,100.529
กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,10800,null,null
กรุงเทพมหานคร,จตุจักร,ลาดยาว,10900,13.826,100.565
กรุงเทพมหานคร,จตุจักร,เสนานิคม,10900,null,null
กรุงเทพมหานคร,จตุจักร,จันทรเกษม,10900,null,null
กรุงเทพมหานคร,จตุจักร,จอมพล,10900,null,null
กรุงเทพมหานคร,จตุจักร,จตุจักร,10900,null,null
กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,10120,13.696,100.494
กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร,10120,13.706,100.508
กรุงเทพมหานคร,บางคอแหลม,บางโคล่,10120,13.694,100.516
กรุงเทพมหานคร,ประเวศ,ประเวศ,10250,13.719,100.664
กรุงเทพมหานคร,ประเวศ,หนองบอน,10250,13.687,100.656
กรุงเทพมหานคร,ประเวศ,ดอกไม้,10250,13.680,100.689
กรุงเทพมหานคร,คลองเตย,คลองเตย,10110,13.710,100.570
กรุงเทพมหานคร,คลองเตย,คลองตัน,10110,13.723,100.571
กรุงเทพมหานคร,คลองเตย,พระโขนง,10110,13.707,100.595
กรุงเทพมหานคร,สวนหลวง,สวนหลวง,10250,13.726,100.628
กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,10150,13.694,100.450
กรุงเทพมหานคร,จอมทอง,บางค้อ,10150,13.702,100.476
กรุงเทพมหานคร,จอมทอง,บางมด,10150,13.672,100.468
กรุงเทพมหานคร,จอมทอง,จอมทอง,10150,13.693,100.468
กรุงเทพมหานคร,ดอนเมือง,สีกัน,10210,13.925,100.593
กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,10210,null,null
กรุงเทพมหานคร,ดอนเมือง,สนามบิน,10210,null,null
กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,10400,13.763,100.530
กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท,10400,13.757,100.538
กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี,10400,13.752,100.559
กรุงเทพมหานคร,ราชเทวี,มักกะสัน,10400,13.752,100.528
กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,10230,13.811,100.612
กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,10230,13.840,100.600
กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,10110,13.743,100.560
กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,10110,13.736,100.576
กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ,10110,13.719,100.596
กรุงเทพมหานคร,บางแค,บางแค,10160,13.698,100.409
กรุงเทพมหานคร,บางแค,บางแคเหนือ,10160,13.720,100.400
กรุงเทพมหานคร,บางแค,บางไผ่,10160,13.741,100.385
กรุงเทพมหานคร,บางแค,หลักสอง,10160,13.683,100.396
กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,10210,13.883,100.564
กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน,10210,13.871,100.580
กรุงเทพมหานคร,สายไหม,สายไหม,10220,13.921,100.654
กรุงเทพมหานคร,สายไหม,ออเงิน,10220,13.896,100.672
กรุงเทพมหานคร,สายไหม,คลองถนน,10220,13.898,100.630
กรุงเทพมหานคร,คันนายาว,คันนายาว,10230,13.821,100.677
กรุงเทพมหานคร,คันนายาว,รามอินทรา,10230,null,null
กรุงเทพมหานคร,สะพานสูง,สะพานสูง,10240,13.761,100.688
กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,10310,13.779,100.609
กรุงเทพมหานคร,วังทองหลาง,สะพานสอง,10310,null,null
กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์,10310,null,null
กรุงเทพมหานคร,วังทองหลาง,พลับพลา,10310,null,null
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,10510,13.889,100.708
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก,10510,13.896,100.760
กรุงเทพมหานคร,คลองสามวา,บางชัน,10510,13.839,100.700
กรุงเทพมหานคร,คลองสามวา,ทรายกองดิน,10510,13.854,100.745
กรุงเทพมหานคร,คลองสามวา,ทรายกองดินใต้,10510,13.861,100.786
กรุงเทพมหานคร,บางนา,บางนา,10260,13.672,100.616
กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา,10170,13.758,100.348
กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์,10170,13.783,100.390
กรุงเทพมหานคร,ทุ่งครุ,บางมด,10140,13.651,100.510
กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ,10140,13.614,100.497
กรุงเทพมหานคร,บางบอน,บางบอน,10150,13.646,100.370
สมุทรปราการ,เมืองสมุทรปราการ,ปากน้ำ,10270,null,null
สมุทรปราการ,เมืองสมุทรปราการ,สำโรงเหนือ,10270,13.649,100.617
สมุทรปราการ,เมืองสมุทรปราการ,บางเมือง,10270,13.601,100.622
สมุทรปราการ,เมืองสมุทรปราการ,ท้ายบ้าน,10280,13.556,100.599
สมุทรปราการ,เมืองสมุทรปราการ,บางปูใหม่,10280,13.526,100.670
สมุทรปราการ,เมืองสมุทรปราการ,แพรกษา,10280,13.564,100.653
สมุทรปราการ,เมืองสมุทรปราการ,บางโปรง,10270,13.623,100.565
สมุทรปราการ,เมืองสมุทรปราการ,บางปู,10280,null,null
สมุทรปราการ,เมืองสมุทรปราการ,บางด้วน,10270,13.622,100.581
สมุทรปราการ,เมืองสมุทรปราการ,บางเมืองใหม่,10270,null,null
สมุทรปราการ,เมืองสมุทรปราการ,เทพารักษ์,10270,13.634,100.610
สมุทรปราการ,เมืองสมุทรปราการ,ท้ายบ้านใหม่,10280,13.572,100.621
สมุทรปราการ,เมืองสมุทรปราการ,แพรกษาใหม่,10280,13.559,100.691
สมุทรปราการ,บางบ่อ,บางบ่อ,10560,13.611,100.862
สมุทรปราการ,บางบ่อ,บ้านระกาศ,10560,13.639,100.904
สมุทรปราการ,บางบ่อ,บางพลีน้อย,10560,13.574,100.900
สมุทรปราการ,บางบ่อ,บางเพรียง,10560,13.545,100.805
สมุทรปราการ,บางบ่อ,คลองด่าน,10550,13.511,100.835
สมุทรปราการ,บางบ่อ,คลองสวน,10560,13.659,100.925
สมุทรปราการ,บางบ่อ,เปร็ง,10560,13.672,100.881
สมุทรปราการ,บางบ่อ,คลองนิยมยาตรา,10560,13.624,100.935
สมุทรปราการ,บางพลี,บางพลีใหญ่,10540,13.618,100.694
สมุทรปราการ,บางพลี,บางแก้ว,10540,13.642,100.662
สมุทรปราการ,บางพลี,บางปลา,10540,13.561,100.739
สมุทรปราการ,บางพลี,บางโฉลง,10540,13.623,100.755
สมุทรปราการ,บางพลี,ราชาเทวะ,10540,13.681,100.733
สมุทรปราการ,บางพลี,หนองปรือ,10540,13.678,100.750
สมุทรปราการ,พระประแดง,ตลาด,10130,13.671,100.520
สมุทรปราการ,พระประแดง,บางพึ่ง,10130,null,null
สมุทรปราการ,พระประแดง,บางจาก,10130,13.616,100.536
สมุทรปราการ,พระประแดง,บางครุ,10130,13.631,100.526
สมุทรปราการ,พระประแดง,บางหญ้าแพรก,10130,13.645,100.546
สมุทรปราการ,พระประแดง,บางหัวเสือ,10130,13.625,100.549
สมุทรปราการ,พระประแดง,สำโรงใต้,10130,null,null
สมุทรปราการ,พระประแดง,บางยอ,10130,13.679,100.558
สมุทรปราการ,พระประแดง,บางกะเจ้า,10130,13.697,100.561
สมุทรปราการ,พระประแดง,บางน้ำผึ้ง,10130,13.679,100.578
สมุทรปราการ,พระประแดง,บางกระสอบ,10130,13.666,100.566
สมุทรปราการ,พระประแดง,บางกอบัว,10130,13.693,100.577
สมุทรปราการ,พระประแดง,ทรงคนอง,10130,13.665,100.545
สมุทรปราการ,พระประแดง,สำโรง,10130,13.659,100.584
สมุทรปราการ,พระประแดง,สำโรงกลาง,10130,13.653,100.564
สมุทรปราการ,พระสมุทรเจดีย์,นาเกลือ,10290,13.530,100.494
สมุทรปราการ,พระสมุทรเจดีย์,บ้านคลองสวน,10290,13.571,100.476
สมุทรปราการ,พระสมุทรเจดีย์,แหลมฟ้าผ่า,10290,13.539,100.559
สมุทรปราการ,พระสมุทรเจดีย์,ปากคลองบางปลากด,10290,13.606,100.567
สมุทรปราการ,พระสมุทรเจดีย์,ในคลองบางปลากด,10290,13.588,100.541
สมุทรปราการ,บางเสาธง,บางเสาธง,10540,13.600,100.815
สมุทรปราการ,บางเสาธง,ศีรษะจรเข้น้อย,10540,13.689,100.799
สมุทรปราการ,บางเสาธง,ศีรษะจรเข้ใหญ่,10540,13.641,100.803
นนทบุรี,เมืองนนทบุรี,สวนใหญ่,11000,13.842,100.494
นนทบุรี,เมืองนนทบุรี,ตลาดขวัญ,11000,13.850,100.509
นนทบุรี,เมืองนนทบุรี,บางเขน,11000,13.835,100.516
นนทบุรี,เมืองนนทบุรี,บางกระสอ,11000,13.869,100.491
นนทบุรี,เมืองนนทบุรี,ท่าทราย,11000,13.884,100.501
นนทบุรี,เมืองนนทบุรี,บางไผ่,11000,13.823,100.492
นนทบุรี,เมืองนนทบุรี,บางศรีเมือง,11000,13.841,100.475
นนทบุรี,เมืองนนทบุรี,บางกร่าง,11000,13.835,100.438
นนทบุรี,เมืองนนทบุรี,ไทรม้า,11000,13.870,100.472
นนทบุรี,เมืองนนทบุรี,บางรักน้อย,11000,13.859,100.464
นนทบุรี,บางกรวย,วัดชลอ,11130,13.802,100.476
นนทบุรี,บางกรวย,บางกรวย,11130,13.809,100.499
นนทบุรี,บางกรวย,บางสีทอง,11130,13.818,100.479
นนทบุรี,บางกรวย,บางขนุน,11130,13.811,100.453
นนทบุรี,บางกรวย,บางขุนกอง,11130,13.821,100.444
นนทบุรี,บางกรวย,บางคูเวียง,11130,13.822,100.417
นนทบุรี,บางกรวย,มหาสวัสดิ์,11130,13.806,100.434
นนทบุรี,บางกรวย,ปลายบาง,11130,13.814,100.402
นนทบุรี,บางกรวย,ศาลากลาง,11130,13.810,100.358
นนทบุรี,บางใหญ่,บางม่วง,11140,13.838,100.406
นนทบุรี,บางใหญ่,บางแม่นาง,11140,13.868,100.381
นนทบุรี,บางใหญ่,บางเลน,11140,13.854,100.434
นนทบุรี,บางใหญ่,เสาธงหิน,11140,13.875,100.404
นนทบุรี,บางใหญ่,บางใหญ่,11140,13.837,100.375
นนทบุรี,บางใหญ่,บ้านใหม่,11140,13.861,100.333
นนทบุรี,บางบัวทอง,โสนลอย,11110,13.914,100.422
นนทบุรี,บางบัวทอง,บางบัวทอง,11110,13.944,100.390
นนทบุรี,บางบัวทอง,บางรักใหญ่,11110,13.878,100.438
นนทบุรี,บางบัวทอง,บางคูรัด,11110,13.907,100.351
นนทบุรี,บางบัวทอง,ละหาร,11110,13.964,100.401
นนทบุรี,บางบัวทอง,ลำโพ,11110,13.970,100.416
นนทบุรี,บางบัวทอง,พิมลราช,11110,13.934,100.366
นนทบุรี,บางบัวทอง,บางรักพัฒนา,11110,13.894,100.410
นนทบุรี,ไทรน้อย,ไทรน้อย,11150,13.976,100.344
นนทบุรี,ไทรน้อย,ราษฎร์นิยม,11150,14.088,100.329
นนทบุรี,ไทรน้อย,หนองเพรางาย,11150,13.906,100.322
นนทบุรี,ไทรน้อย,ไทรใหญ่,11150,14.085,100.292
นนทบุรี,ไทรน้อย,ขุนศรี,11150,14.005,100.287
นนทบุรี,ไทรน้อย,คลองขวาง,11150,14.004,100.306
นนทบุรี,ไทรน้อย,ทวีวัฒนา,11150,13.942,100.312
นนทบุรี,ปากเกร็ด,ปากเกร็ด,11120,13.912,100.506
นนทบุรี,ปากเกร็ด,บางตลาด,11120,13.896,100.521
นนทบุรี,ปากเกร็ด,บ้านใหม่,11120,13.930,100.546
นนทบุรี,ปากเกร็ด,บางพูด,11120,13.927,100.516
นนทบุรี,ปากเกร็ด,บางตะไนย์,11120,13.931,100.492
นนทบุรี,ปากเกร็ด,คลองพระอุดม,11120,13.930,100.479
นนทบุรี,ปากเกร็ด,ท่าอิฐ,11120,13.894,100.480
นนทบุรี,ปากเกร็ด,เกาะเกร็ด,11120,13.910,100.472
นนทบุรี,ปากเกร็ด,อ้อมเกร็ด,11120,13.909,100.453
นนทบุรี,ปากเกร็ด,คลองข่อย,11120,13.959,100.450
นนทบุรี,ปากเกร็ด,บางพลับ,11120,13.929,100.458
นนทบุรี,ปากเกร็ด,คลองเกลือ,11120,13.902,100.550
ปทุมธานี,เมืองปทุมธานี,บางปรอก,12000,14.012,100.528
ปทุมธานี,เมืองปทุมธานี,บ้านใหม่,12000,13.963,100.553
ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,12000,14.001,100.558
ปทุมธานี,เมืองปทุมธานี,บ้านฉาง,12000,14.029,100.507
ปทุมธานี,เมืองปทุมธานี,บ้านกระแชง,12000,14.031,100.552
ปทุมธานี,เมืองปทุมธานี,บางขะแยง,12000,13.967,100.523
ปทุมธานี,เมืองปทุมธานี,บางคูวัด,12000,13.963,100.495
ปทุมธานี,เมืองปทุมธานี,บางหลวง,12000,14.007,100.509
ปทุมธานี,เมืองปทุมธานี,บางเดื่อ,12000,13.990,100.487
ปทุมธานี,เมืองปทุมธานี,บางพูด,12000,14.035,100.572
ปทุมธานี,เมืองปทุมธานี,บางพูน,12000,13.988,100.594
ปทุมธานี,เมืองปทุมธานี,บางกะดี,12000,13.983,100.537
ปทุมธานี,เมืองปทุมธานี,สวนพริกไทย,12000,14.018,100.568
ปทุมธานี,เมืองปทุมธานี,หลักหก,12000,13.963,100.590
ปทุมธานี,คลองหลวง,คลองหนึ่ง,12120,14.066,100.607
ปทุมธานี,คลองหลวง,คลองสอง,12120,14.079,100.642
ปทุมธานี,คลองหลวง,คลองสาม,12120,14.087,100.664
ปทุมธานี,คลองหลวง,คลองสี่,12120,14.097,100.687
ปทุมธานี,คลองหลวง,คลองห้า,12120,14.106,100.710
ปทุมธานี,คลองหลวง,คลองหก,12120,14.117,100.733
ปทุมธานี,คลองหลวง,คลองเจ็ด,12120,14.125,100.750
ปทุมธานี,ธัญบุรี,ประชาธิปัตย์,12130,13.987,100.632
ปทุมธานี,ธัญบุรี,บึงยี่โถ,12130,13.999,100.687
ปทุมธานี,ธัญบุรี,รังสิต,12110,14.018,100.731
ปทุมธานี,ธัญบุรี,ลำผักกูด,12110,14.036,100.779
ปทุมธานี,ธัญบุรี,บึงสนั่น,12110,14.052,100.824
ปทุมธานี,ธัญบุรี,บึงน้ำรักษ์,12110,14.071,100.880
ปทุมธานี,หนองเสือ,บึงบา,12170,14.112,100.824
ปทุมธานี,หนองเสือ,บึงบอน,12170,14.087,100.778
ปทุมธานี,หนองเสือ,บึงกาสาม,12170,14.200,100.824
ปทุมธานี,หนองเสือ,บึงชำอ้อ,12170,14.172,100.778
ปทุมธานี,หนองเสือ,หนองสามวัง,12170,14.130,100.881
ปทุมธานี,หนองเสือ,ศาลาครุ,12170,14.244,100.928
ปทุมธานี,หนองเสือ,นพรัตน์,12170,14.223,100.866
ปทุมธานี,ลาดหลุมแก้ว,ระแหง,12140,14.059,100.396
ปทุมธานี,ลาดหลุมแก้ว,ลาดหลุมแก้ว,12140,14.006,100.410
ปทุมธานี,ลาดหลุมแก้ว,คูบางหลวง,12140,14.047,100.467
ปทุมธานี,ลาดหลุมแก้ว,คูขวาง,12140,14.068,100.437
ปทุมธานี,ลาดหลุมแก้ว,คลองพระอุดม,12140,13.990,100.449
ปทุมธานี,ลาดหลุมแก้ว,บ่อเงิน,12140,14.102,100.383
ปทุมธานี,ลาดหลุมแก้ว,หน้าไม้,12140,14.034,100.359
ปทุมธานี,ลำลูกกา,คูคต,12130,13.955,100.641
ปทุมธานี,ลำลูกกา,ลาดสวาย,12150,13.958,100.685
ปทุมธานี,ลำลูกกา,บึงคำพร้อย,12150,13.961,100.731
ปทุมธานี,ลำลูกกา,ลำลูกกา,12150,13.972,100.774
ปทุมธานี,ลำลูกกา,บึงทองหลาง,12150,13.984,100.820
ปทุมธานี,ลำลูกกา,ลำไทร,12150,13.973,100.861
ปทุมธานี,ลำลูกกา,บึงคอไห,12150,14.029,100.862
ปทุมธานี,ลำลูกกา,พืชอุดม,12150,13.975,100.896
ปทุมธานี,สามโคก,บางเตย,12160,14.062,100.504
ปทุมธานี,สามโคก,คลองควาย,12160,14.097,100.478
ปทุมธานี,สามโคก,สามโคก,12160,14.052,100.529
ปทุมธานี,สามโคก,กระแชง,12160,14.043,100.544
ปทุมธานี,สามโคก,บางโพธิ์เหนือ,12160,14.042,100.515
ปทุมธานี,สามโคก,เชียงรากใหญ่,12160,14.057,100.574
ปทุมธานี,สามโคก,บ้านปทุม,12160,14.067,100.546
ปทุมธานี,สามโคก,บ้านงิ้ว,12160,14.084,100.539
ปทุมธานี,สามโคก,เชียงรากน้อย,12160,14.105,100.567
ปทุมธานี,สามโคก,บางกระบือ,12160,14.103,100.538
ปทุมธานี,สามโคก,ท้ายเกาะ,12160,14.105,100.496
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ประตูชัย,13000,14.349,100.551
พระนครศรีอยุธยา,พระนครศรีอยุธยา,กะมัง,13000,14.341,100.581
พระนครศรีอยุธยา,พระนครศรีอยุธยา,หอรัตนไชย,13000,14.354,100.578
พระนครศรีอยุธยา,พระนครศรีอยุธยา,หัวรอ,13000,14.368,100.578
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ท่าวาสุกรี,13000,14.361,100.552
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ไผ่ลิง,13000,14.356,100.589
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ปากกราน,13000,14.310,100.532
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ภูเขาทอง,13000,14.365,100.542
พระนครศรีอยุธยา,พระนครศรีอยุธยา,สำเภาล่ม,13000,14.340,100.570
พระนครศรีอยุธยา,พระนครศรีอยุธยา,สวนพริก,13000,14.391,100.558
พระนครศรีอยุธยา,พระนครศรีอยุธยา,คลองตะเคียน,13000,14.331,100.554
พระนครศรีอยุธยา,พระนครศรีอยุธยา,วัดตูม,13000,14.390,100.539
พระนครศรีอยุธยา,พระนครศรีอยุธยา,หันตรา,13000,14.371,100.600
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ลุมพลี,13000,14.376,100.548
พระนครศรีอยุธยา,พระนครศรีอยุธยา,บ้านใหม่,13000,14.390,100.521
พระนครศรีอยุธยา,พระนครศรีอยุธยา,บ้านเกาะ,13000,14.389,100.582
